seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,750.973,False,False,43,1964,65,Old itztolmixpan,33,Paper,120,Copper Smelting,-670,147,Arkaleshan Tribe,5922,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_1,
2,True,0,726.136,False,False,43,1757,48,Kingdom of Ngomau Kingdom,35,Markets,120,Copper Smelting,-2261,166,New tamsamum Kingdom,5765,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_2,
3,True,0,710.430,False,False,30,-1842,49,Empire of New mangozu,108,Watercraft,120,Copper Smelting,-1930,34,Kingdom of Great belbarad,5587,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_3,
4,True,0,724.216,False,False,28,944,199,South chichiara Kingdom,12,Shipbuilding,120,Copper Smelting,446,32,Kingdom of North ninurkalum,5408,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_4,
5,True,0,782.938,False,False,39,1926,238,Republic of Kingdom of South ngomaa Kingdom,24,Optics,120,Copper Smelting,-944,37,Kingdom of Old barbarsamum,5596,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_5,
6,True,0,654.800,False,False,35,1924,70,Republic of New teoyuctempan,39,Universities,120,Copper Smelting,723,79,Kingdom of Ayarumqorimarca,5453,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_6,
7,True,0,694.421,False,False,37,1927,70,Republic of Kingdom of North mixyuc,33,Paper,120,Copper Smelting,-126,106,Kingdom of North tamashad,5499,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_7,
8,True,0,732.207,False,False,28,1496,168,Kingdom of Great quikinland,15,Currency,120,Copper Smelting,-1313,141,Empire of Great qorirumna,5608,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_8,
9,True,0,768.815,False,False,28,905,49,Kingdom of Old ngotanara,109,Long-distance Exchange Networks,120,Copper Smelting,-1775,135,Kingdom of Kalsamninad,5749,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_9,
10,True,0,694.374,False,False,38,2011,48,Kingdom of Old chiselamene Kingdom,33,Paper,120,Copper Smelting,-2559,34,Kingdom of South ninashbelar,5309,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_10,
11,True,0,608.839,False,False,31,367,48,Kingdom of South katankaene Kingdom,21,Drama and Poetry,120,Copper Smelting,-711,81,Kingdom of South rumllaqqoriyu,5566,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_11,
12,True,0,738.606,False,False,28,-778,49,Kingdom of Great mazua,12,Shipbuilding,120,Copper Smelting,-926,116,Kingdom of South belbel,5504,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_12,
13,True,0,764.787,False,False,28,-1871,150,South lamchikau Tribe,15,Currency,120,Copper Smelting,-1189,34,Kingdom of South kalkalar,5682,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_13,
14,True,0,771.127,False,False,38,1930,3,Empire of Great shashavarnagar Kingdom,31,Acoustics,120,Copper Smelting,-2294,31,North ashtamashar Tribe,5703,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_14,
15,True,0,727.648,False,False,35,1888,48,Kachia Kingdom,21,Drama and Poetry,120,Copper Smelting,-1316,131,Belbelalum Tribe,5825,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_15,
16,True,0,745.817,False,False,45,1757,66,Republic of Kingdom of Chitoltan,35,Markets,120,Copper Smelting,-733,107,Kingdom of Weiminguo,5780,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v15/seed_16,
