seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,761.988,False,False,43,2005,65,Republic of Kingdom of Great chiitzxoc,40,Astronomy,120,Copper Smelting,-669,147,Arkaleshan Tribe,5788,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_1,
2,True,0,717.135,False,False,36,1846,65,Great toltemnah,27,Democracy,120,Copper Smelting,-2262,166,New tamsamum Kingdom,5727,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_2,
3,True,0,708.486,False,False,42,1780,49,Kingdom of Great chima Kingdom,36,Printing,120,Copper Smelting,-1924,34,Kingdom of Great belbarad,5133,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_3,
4,True,0,719.253,False,False,28,1972,207,Kingdom of New ofizua Kingdom,109,Long-distance Exchange Networks,120,Copper Smelting,-216,24,Kingdom of North xiaxia,5352,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_4,
5,True,0,749.942,False,False,28,183,168,Empire of Old tanmaka,12,Shipbuilding,120,Copper Smelting,-934,37,Kingdom of Old barbarsamum,5643,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_5,
6,True,0,630.514,False,False,35,1872,70,Republic of Kingdom of South nahcaltan,30,Education,120,Copper Smelting,753,105,Kingdom of New romtarrom,5479,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_6,
7,True,0,714.298,False,False,36,1938,70,Republic of Kingdom of North mixyuc,26,Compass,120,Copper Smelting,-281,198,Kingdom of North arbarsamum,4995,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_7,
8,True,0,714.049,False,False,27,564,167,Great kinquiia Tribe,109,Long-distance Exchange Networks,120,Copper Smelting,-1463,141,Empire of Great qorirumna,5811,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_8,
9,True,0,769.504,False,False,33,1994,282,Zutanara,30,Education,120,Copper Smelting,-2031,128,Kingdom of Sambelan,5806,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_9,
10,True,0,697.818,False,False,28,1055,153,South sengoseara Kingdom,12,Shipbuilding,120,Copper Smelting,-2561,34,Great arninar Tribe,4985,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_10,
11,True,0,647.256,False,False,31,1983,48,Kingdom of Old lamchiu Kingdom,21,Drama and Poetry,120,Copper Smelting,-521,32,Kingdom of New samararad,5548,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_11,
12,True,0,767.570,False,False,27,-1490,49,Kingdom of Great mazua,5,Sailing,120,Copper Smelting,-1105,116,Kingdom of Eshninar,5457,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_12,
13,True,0,771.486,False,False,30,1320,247,Kingdom of New makachiene,22,Philosophy,120,Copper Smelting,-134,114,Kingdom of New kalashbarar,5724,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_13,
14,True,0,761.508,False,False,28,-1644,49,Kingdom of Old setanlamene Kingdom,15,Currency,120,Copper Smelting,-2288,31,North ashtamashar Tribe,5712,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_14,
15,True,0,723.404,False,False,28,1456,48,Empire of North ngotanofiene Kingdom,12,Shipbuilding,120,Copper Smelting,-1296,131,Belbelalum Tribe,5793,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_15,
16,True,0,711.416,False,False,42,402,66,Republic of Kingdom of Chitoltan,36,Printing,120,Copper Smelting,-709,107,Kingdom of New xiaqinling,5891,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v17/seed_16,
