seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,753.811,False,False,42,1940,65,North xoctolan,36,Printing,120,Copper Smelting,-569,148,New ururad Tribe,5710,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_1,
2,True,0,754.523,False,False,32,2013,65,Republic of Kingdom of North calteopan,15,Currency,120,Copper Smelting,-571,34,Old ninkalum,5606,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_2,
3,True,0,712.465,False,False,40,1964,49,Empire of South barmau,32,Civil Service,120,Copper Smelting,258,151,Empire of Romdorvenia,5556,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_3,
4,True,0,698.770,False,False,28,605,191,Kingdom of Great ofitana Kingdom,12,Shipbuilding,120,Copper Smelting,704,109,Kingdom of Old ureshtamad,5364,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_4,
5,True,0,771.817,False,False,28,501,7,Kingdom of South shasurtandesh Kingdom,12,Shipbuilding,120,Copper Smelting,103,244,New arurur Kingdom,5571,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_5,
6,True,0,668.697,False,False,26,-2203,42,Kingdom of North duszengrad,17,Roads,120,Copper Smelting,-490,136,Kingdom of South selnorkarum,5427,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_6,
7,True,0,756.028,False,False,42,1916,271,Republic of South ngochiofiu,36,Printing,120,Copper Smelting,272,119,Kingdom of North ashbel,5334,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_7,
8,True,0,693.048,False,False,28,-881,49,Kingdom of North malamchiene Kingdom,12,Shipbuilding,120,Copper Smelting,-62,60,Kingdom of Great kartarnoria,5540,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_8,
9,True,0,784.597,False,False,26,-2470,0,Kingdom of Kanvia,12,Shipbuilding,120,Copper Smelting,-879,127,New tamurum Kingdom,5699,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_9,
10,True,0,722.814,False,False,28,1584,68,Kingdom of South xoctolmixpan,15,Currency,120,Copper Smelting,-160,32,South eshashurad,5715,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_10,
11,True,0,633.405,False,False,28,-962,54,Old malamlamara Tribe,12,Shipbuilding,120,Copper Smelting,3,60,Kingdom of North alrom,5292,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_11,
12,True,0,760.256,False,False,28,-1301,49,Kingdom of Seka,12,Shipbuilding,120,Copper Smelting,926,136,Kingdom of Old ashkalbarum,5583,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_12,
13,True,0,782.348,False,False,28,-236,155,Kingdom of Old lamofichia Kingdom,15,Currency,120,Copper Smelting,470,148,South romdordorum Tribe,5547,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_13,
14,True,0,778.850,False,False,33,123,184,Kingdom of Great zukaofi Kingdom,22,Philosophy,120,Copper Smelting,-1196,168,Old kalbelbelum Tribe,5569,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_14,
15,True,0,755.579,False,False,28,1431,97,Kingdom of Old terzenstan,10,Irrigation,120,Copper Smelting,182,125,Kingdom of Sellentaria,5717,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_15,
16,True,0,748.448,False,False,40,1734,66,Republic of Kingdom of Xocmixtan,32,Civil Service,120,Copper Smelting,-276,211,Belninar Tribe,5737,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v10/seed_16,
