seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,743.363,False,False,42,1649,65,Kingdom of Nahchico,39,Universities,120,Copper Smelting,11,38,Kingdom of North kalninsaman,5945,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_1,
2,True,0,697.474,False,False,37,1976,65,Kingdom of South nahcalan,34,Banking,120,Copper Smelting,-1387,36,Kingdom of South kalninar,5680,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_2,
3,True,0,711.008,False,False,31,491,49,Kingdom of South lamngoene Kingdom,109,Long-distance Exchange Networks,120,Copper Smelting,742,58,Empire of Great dorlenland,5772,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_3,
4,True,0,684.146,False,False,31,1696,195,Kingdom of Setanbar Kingdom,14,Formal Mathematics,120,Copper Smelting,-280,173,Kingdom of New ninbarurar,5502,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_4,
5,True,0,751.014,False,False,37,1982,48,Kingdom of South barmau Kingdom,30,Education,120,Copper Smelting,541,29,Kingdom of Great kalbarum,5574,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_5,
6,True,0,658.744,False,False,29,1819,180,Kingdom of Old kachiseara Kingdom,2,Animal Husbandry,120,Copper Smelting,1195,105,Old venkarum,5453,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_6,
7,True,0,713.754,False,False,26,-2606,39,Kingdom of Great dusviamargrad,17,Roads,120,Copper Smelting,-553,38,Kingdom of North ashninar,5431,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_7,
8,True,0,712.543,False,False,28,333,16,Kingdom of Weixia Kingdom,15,Currency,120,Copper Smelting,158,112,Kingdom of Great weilizhou,5528,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_8,
9,True,0,779.947,False,False,28,-1479,67,Empire of New tolxocxocpan,15,Currency,120,Copper Smelting,-1713,127,New tamurum Kingdom,5722,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_9,
10,True,0,720.628,False,False,37,1956,48,Kingdom of Old setanofiene Kingdom,24,Optics,120,Copper Smelting,-1094,34,Great arninar Tribe,5630,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_10,
11,True,0,575.317,False,False,28,-1403,48,Kingdom of South ngongo,12,Shipbuilding,120,Copper Smelting,209,32,Kingdom of South ursamum,5060,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_11,
12,True,0,733.494,False,False,41,1823,49,Kingdom of Old setanene,36,Printing,120,Copper Smelting,-950,38,Kingdom of Old eshninum,5536,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_12,
13,True,0,751.076,False,False,28,-1204,211,South ofingochiu Kingdom,15,Currency,120,Copper Smelting,-942,120,Great eshashurar Tribe,5690,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_13,
14,True,0,751.196,False,False,41,1773,180,Kingdom of Ngochiene Kingdom,34,Banking,120,Copper Smelting,-1669,155,South asharar Tribe,5361,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_14,
15,True,0,728.595,False,False,28,-1397,53,Kingdom of Great semabar,15,Currency,120,Copper Smelting,-4,125,Kingdom of Great belbeltarburg,5803,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_15,
16,True,0,708.259,False,False,40,1993,66,Kingdom of New itzxocpan,36,Printing,120,Copper Smelting,-255,30,Kingdom of South ninararan,5859,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16_realism_v2/seed_16,
